ID,Like,Comment
             0T4 PINKS           ,2100.0,blinks let’s be united so blackpink can get the awards that they deserve keep str3aming the HYLT mv and vote Blackpink on MAMA
             ABDEL SWITCH           ,7400.0,THE SONG IS SO AMAZING
             I Purple You           ,928.0,Blackpink bölgenizde Turkish blink
             Illary Samira           ,3600.0,"Any Selenators , Arianators , Little Monsters , and here to support BLACKPINK  and stream How You Like That"
             ali veli           ,1500.0,Gidiyorum cehennemin taa dibine.Gelcen mi?TURKISH BLINK
             Lương Chung Thưởng           ,2500.0,"Blinks are str3aming this MV.Lisa said: ""one more time""""One more time time""......"
             Stephanie Jane Andoy           ,27000.0,BLACKPINK: How you like that?Me: NO I DON'T LIKE IT COZ I LOVEEEE IT VERYYY MUCHHHH!!!Edit (2). Emojis don't freeze the views guys <3
             ᄏᄏᄏᄏ           ,11000.0,haters: spamming commentblackpink: non-stop record breakingblinks: how you like that
             Javi Solar           ,409.0,VAMOS BLINKS POR LOS PREMIOS MAMA DE NUESTRAS PINKS!!!!
             Midnight MoonProductions           ,4600.0,Anti-fans: THEIR TERRIBLE SINGERSBlackpink: HOW U LIKE THAT?
             Baekie Byun           ,3400.0,Jisoo visuali der susarım.
             LISA'S GF           ,32000.0,"These people in the comments section need a brain, I swear...."
             jade           ,25000.0,wtf is happening with bts' and this queen's mv? it literally has the same comment in every each person
             Kim Jeon           ,449.0,"Real life: If we stream, Blackpink wins, If we Vote, Blackpink wins."
             Stephanie Jane Andoy           ,46000.0,"BLACKPINK: How you like that?Me: NO I DON'T LIKE IT COZ I LOVEEEE IT VERYYY MUCHHHH!!Edit: Done. Sorry I did not know emojis freezes the views :3Edit (2): Emojis don't freeze the views (;Edit (3): I am not a liar. I was so fed up reading ""no one"" comments so I tried to leave good comments as possible so blinks may see atleast one decent comment. I'M A HUGE BLACKPINK FAN Y'ALL, and yes I'm a swiftie too :*"
